name
보얀
스테파노 오카카
F. 포레스티에리
시몬 키에르
에밀리아노 인수아
에렌 데르디요크
토마시 네치트
시드네이
잭 로드웰
프란 메리다
파블로 피아티
안드레아 폴리
페데리코 마케다
대니 웰벡
가엘 카쿠타
파비오 보리니
레반 므체들리제
프랑코 디산토
에세키엘 무뇨스
알베르토 팔로스키
알란 자고예프
클레망 그르니에
다니 파체코
넬송 올리베이라
잭 윌셔
다비데 산톤
파레호
하파엘
뤼크 더용
바츨라프 카들레츠
카날레스
게오르기 셴니코프
마티아 데스트로
디에고 콘텐토
제프리 브뤼마
야야 사노고
룩 카스타뇨스
B. 마르팅스 인디
오리올 로메우
데니스 프라트
페드로 오비앙
뤼카 디뉴
알레산더 메르켈
마우로 이카르디
알바로 바스케스
가스톤 라미레스
올라 존
헤세
J. 바에베크
토니 빌레나
빅토르 피셔
음바예 니앙
커트 주마
티아구 일로리
마티야 나스타시치
조던 아이브
크리스천 아추
루카스 오캄포스
칼럼 체임버스
제트로 빌럼스
세르주 그나브리
S. 크리우초우
케네스 오메루오
사무엘레 롱고
엠레 잔
야니크 카라스코
자카리아 바칼리
네이선 아케
도메니코 베라르디
리카르도 키슈나
요시프 라도셰비치
라자르 마르코비치
막스 마이어
줄리언 그린
리헤들리 바주르
브라얀 페레아
요나탄 타
P. 호이비에르
앨릭스 이워비
루벤 로프터스-칙
아다마 트라오레
앙헬 코레아
A. 미트로비치
알렌 할릴로비치
안바르 엘가지
모지스 사이먼
산드로
마흐무드 다후드
S. 크리스토포로
A. 사나브리아
제이슨 데나이어
무니르
데마라이 그레이
에세키엘 폰세
루카스 에르난데스
카를로스 페르난데스
자이로 리데발트
파블로 마페오
가브리엘 보실리아
마누엘 로카텔리
토신 아다라바요
호르헤 메레
에네스 위날
마리오 파샬리치
마누 가르시아
막심 로페즈
니콜로 바렐라
후벵 네베스
아드리안 마린
T. 자말레티노프
도미닉 솔랑키
장-케빈 오귀스탕
미켈 두엘룬
P. 디오프
크리스천 풀리식
알마미 투레
펠릭스 파슬라크
산데르 베르게
C. 카터-비커스
